"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
68,ZA,009-039-414-606-906,2007-03-28,ZA 200600639 A,2003-11-11,Polypropylene resin composition,MITSUI CHEMICALS INC,,0,0,C08L53/00,C08K3/00;;C08L53/00,
69,JP,095-894-858-790-720,1998-07-28,JP 35075496 A,1996-12-27,FIBER MADE OF POLYPROPYLENE,MITSUI CHEMICALS INC,,0,8,,C08F4/642;;C08F4/659;;C08F4/6592;;C08F10/06;;D01F6/06,
70,JP,191-602-593-867-835,2005-09-29,JP 2004080256 A,2004-03-19,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC;;TOYOTA MOTOR CORP;;SUMITOMO CHEMICAL CO,,7,4,,C08L53/00;;C08K3/34;;C08L23/08;;C08L23/26,
71,EP,198-234-250-327-675,2006-04-19,EP 03817212 A,2003-11-11,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC,"PRIME POLYMER CO., LTD. (2007-08-15)",0,7,C08L53/00,C08K3/00;;C08L53/00,
72,CN,002-236-654-143-566,1998-06-03,CN 97123012 A,1997-11-26,Polypropylene resin compositions,MITSUI CHEMICALS INC,,0,5,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08J5/18;;C08L23/08;;C08L23/10;;C08L23/14;;C08L23/16,
73,AU,029-522-905-330-41X,1997-06-26,AU 1996/064359 A,1996-08-30,Polypropylene resin composition,MITSUI CHEMICALS INC;;TOYOTA MOTOR CO LTD,,0,0,C08L23/10;;C08L23/16;;C08L53/00;;C08L23/10;;C08L23/16;;C08L53/00,C08K3/00;;C08L23/00;;C08L23/04;;C08L23/10;;C08L23/16;;C08L53/00,
74,US,010-304-436-691-881,2004-02-03,US 14708802 A,2002-05-17,Polypropylene composite film,MITSUI CHEMICALS INC,,30,19,B32B27/32;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913;;B32B27/32;;B32B27/08;;B32B27/32;;B32B2250/242;;B32B2307/516;;B32B2307/518;;B32B2307/704;;B32B2439/70;;C08L23/12;;C08L23/142;;C08L2203/16;;C08L2314/06;;Y10S428/91;;Y10S526/943;;Y10T428/31913,B32B27/32;;C08L23/16,428/516;;428/910;;526/348;;526/943
75,EP,048-976-985-768-686,2002-03-20,EP 97120753 A,1997-11-26,Polypropylene resin compositions,MITSUI CHEMICALS INC,,3,0,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08J5/18;;C08L23/08;;C08L23/10;;C08L23/14;;C08L23/16,
76,JP,052-716-748-764-415,2001-06-26,JP 35656299 A,1999-12-15,SYNDIOTACTIC POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,4,,C08L23/10;;C08F4/64;;C08F4/6592;;C08L23/00,
77,CA,049-396-882-930-658,1998-05-26,CA 2222076 A,1997-11-25,POLYPROPYLENE RESIN COMPOSITIONS,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08J5/18;;C08L23/08;;C08L23/10;;C08L23/14;;C08L23/16,
78,TW,071-307-871-836-957,2001-08-01,TW 86117665 A,1997-11-25,Polypropylene resin compositions,MITSUI CHEMICALS INC,,0,0,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L23/14;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L23/10;;C08L21/00;;C08L23/08,C08J5/18;;C08L23/08;;C08L23/10;;C08L23/14;;C08L23/16,
79,JP,090-561-405-003-678,2006-06-15,JP 2004342343 A,2004-11-26,POLYPROPYLENE SHEET AND FILM,MITSUI CHEMICALS INC,,14,5,,C08F10/06;;B65D65/02;;C08L23/10,
80,WO,065-313-029-263-353,2004-12-29,JP 0314309 W,2003-11-11,POLYPROPYLENE RESIN COMPOSITION,MITSUI CHEMICALS INC;;SAKAI IKUNORI;;NAITO MASAMICHI;;TAKASAKI YASUFUMI;;UENO KOUHEI;;MINODA TAKESHI;;HASHIMOTO MIKIO;;ITAKURA KEITA,,10,12,C08L53/00,C08K3/00;;C08L53/00,
81,JP,029-475-431-812-45X,2023-08-28,JP 2022022437 A,2022-02-16,"AQUEOUS DISPERSION, SURFACE TREATMENT AGENT, TREATED FIBER AND TREATED FILLER",MITSUI CHEMICALS INC,,0,0,,C08L23/26;;C08F8/46;;D06M15/21,
82,JP,009-159-412-875-332,2008-10-02,JP 2007073538 A,2007-03-20,POLYPROPYLENE COMPOSITION AND MOLDED PRODUCT OF THE SAME,MITSUI CHEMICALS INC;;PRIME POLYMER KK,,3,7,,C08L23/10;;C08L23/08,
83,US,127-785-294-383-13X,1999-03-30,US 58574996 A,1996-01-16,Multi-layer blow molded article of polypropylene,MITSUI CHEMICALS INC,MITSUI TOATSU CHEMICALS INC (1996-03-25);;MITSUI CHEMICALS INC (1997-12-19),15,24,B32B27/32;;B65D1/0215;;C08L23/0815;;C08L23/12;;C08L23/142;;C08L2023/42;;C08L2205/02;;C08L2207/12;;C08L2314/06;;Y10T428/1393;;Y10T428/2495;;Y10T428/31913;;Y10T428/31924;;B32B27/32;;B29C49/22;;C08L23/12;;B32B2323/10;;Y10T428/1393;;Y10T428/2495;;Y10T428/31913;;Y10T428/31924;;B32B2323/10;;B32B2307/406;;B32B2307/412;;B32B2307/558;;B32B27/08;;B32B2307/704;;B32B27/32;;C08L23/142;;C08L23/12;;C08L2314/06;;B65D1/0215;;C08L23/0815;;C08L2207/12;;C08L2023/42;;C08L2205/02,B32B27/32;;B65D1/02;;C08L23/08;;C08L23/12;;C08L23/14,428/213;;428/516;;428/36.91;;428/519
84,WO,129-695-087-296-934,2018-07-19,JP 2018000326 W,2018-01-10,POLYPROPYLENE FOAMED SHEET AND ARTICLE,MITSUI CHEMICALS TOHCELLO INC,,8,0,B32B5/18;;B32B27/32;;C08J9/12,C08J9/12;;B32B5/18;;B32B27/32,
85,US,072-071-336-715-000,1999-10-19,US 83772697 A,1997-04-22,High strength porous film of polypropylene and process for producing same,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (1997-04-14),12,14,C08J5/18;;B29C55/005;;B29K2023/12;;B29K2105/04;;C08J2323/12;;Y10T428/249978;;C08J9/02;;B29C55/12;;C08J5/18;;C08J2323/12;;C08L23/12;;C08J5/18;;B29C55/005;;B29K2023/12;;B29K2105/04;;C08J2323/12;;Y10T428/249978,C08J9/00;;B29C55/00;;B29C55/12;;B29C55/28;;B29K23/00;;B29K105/04;;B29L7/00;;C08J5/18,521/143;;210/500.27;;210/500.36;;210/500.42;;264/41;;264/210.3;;264/210.4;;264/210.5;;264/210.7;;264/211;;264/211.13;;264/211.2;;428/315.5;;521/64
86,US,155-429-582-984-33X,2019-09-12,US 201716345312 A,2017-10-11,POLYPROPYLENE-BASED FOAM SHEET AND POLYPROPYLENE-BASED FOAM MULTILAYER SHEET,MITSUI CHEMICALS TOHCELLO INC,MITSUI CHEMICALS TOHCELLO INC (2019-03-14),0,1,B32B27/065;;B32B5/18;;B32B7/12;;B32B27/18;;B32B27/20;;B32B27/32;;B32B27/327;;B32B2250/03;;B32B2250/40;;B32B2262/0246;;B32B2262/0261;;B32B2262/0269;;B32B2262/0276;;B32B2262/0284;;B32B2262/062;;B32B2262/101;;B32B2262/105;;B32B2262/106;;B32B2262/14;;B32B2264/0214;;B32B2264/065;;B32B2264/067;;B32B2264/101;;B32B2264/102;;B32B2264/104;;B32B2264/105;;B32B2264/107;;B32B2264/108;;B32B2264/12;;B32B2266/025;;B32B2307/51;;B32B2307/538;;B32B2307/54;;B32B2307/72;;B32B2307/732;;B32B2419/04;;B32B2439/00;;B32B2457/00;;B32B2479/00;;B32B2605/08;;B32B2607/00;;C08J9/12;;C08L2203/14;;B32B27/32;;B32B5/18;;B32B2307/51;;B32B2307/72;;B32B2419/06;;B32B2607/00;;C08J9/12;;C08K3/013;;C08K3/34;;C08K3/36;;C08L23/10,B32B27/32;;B32B5/18;;C08K3/013;;C08K3/34;;C08L23/10,
87,WO,191-473-087-253-605,2018-05-03,JP 2017036888 W,2017-10-11,POLYPROPYLENE-BASED FOAM SHEET AND POLYPROPYLENE-BASED FOAM MULTILAYER SHEET,MITSUI CHEMICALS TOHCELLO INC,,6,1,B32B27/065;;B32B5/18;;B32B7/12;;B32B27/18;;B32B27/20;;B32B27/32;;B32B27/327;;B32B2250/03;;B32B2250/40;;B32B2262/0246;;B32B2262/0261;;B32B2262/0269;;B32B2262/0276;;B32B2262/0284;;B32B2262/062;;B32B2262/101;;B32B2262/105;;B32B2262/106;;B32B2262/14;;B32B2264/0214;;B32B2264/065;;B32B2264/067;;B32B2264/101;;B32B2264/102;;B32B2264/104;;B32B2264/105;;B32B2264/107;;B32B2264/108;;B32B2264/12;;B32B2266/025;;B32B2307/51;;B32B2307/538;;B32B2307/54;;B32B2307/72;;B32B2307/732;;B32B2419/04;;B32B2439/00;;B32B2457/00;;B32B2479/00;;B32B2605/08;;B32B2607/00;;C08J9/12;;C08L2203/14;;B32B27/32;;B32B5/18;;B32B2307/51;;B32B2307/72;;B32B2419/06;;B32B2607/00;;C08J9/12;;C08K3/013;;C08K3/34;;C08K3/36;;C08L23/10,C08J9/12;;B32B5/18;;B32B27/32;;C08K3/34;;C08K3/36;;C08L23/10,
88,JP,153-068-148-131-760,2004-06-24,JP 2002344204 A,2002-11-27,"POLYPROPYLENE RESIN, METHOD FOR PRODUCING THE SAME AND APPLICATION TO SHEET",MITSUI CHEMICALS INC,,0,12,,C08J5/18;;C08F10/06,
89,JP,096-069-775-175-948,2005-05-26,JP 2003369836 A,2003-10-30,POLYPROPYLENE RESIN COMPOSITION AND ITS MOLDING,MITSUI CHEMICALS INC,,0,5,,C08L23/12;;C08L23/08;;C08L51/06;;C08L69/00,
90,JP,038-403-503-385-332,2024-04-09,JP 2022155373 A,2022-09-28,"BIAXIALLY ORIENTED POLYPROPYLENE FILM, PACKAGE FOR FOOD, AND FOOD PACKAGE",MITSUI CHEMICALS TOHCELLO INC,,0,0,,B32B27/32;;B32B27/00;;B65D65/40,
91,EP,003-934-132-631-161,2001-03-07,EP 97922195 A,1997-05-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",4,1,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
92,CN,097-088-676-157-787,1999-06-16,CN 97194995 A,1997-05-27,"Crystalline polypropylene, process for preparing same, polypropylene composition, and thermoformed article",MITSUI CHEMICALS INC,"PURIMAN POLYMER CO., LTD. (2007-07-20)",0,6,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
93,JP,103-430-725-302-618,2017-12-21,JP 2016118040 A,2016-06-14,POLYPROPYLENE-BASED RESIN COMPOSITION FOR SEALANT,PRIME POLYMER CO LTD;;MITSUI CHEMICALS INC,,3,2,C08F4/65912;;C08F4/65916,C08L23/10;;C08F210/06;;C08L23/16,
94,TW,073-353-602-396-316,2001-06-07,TW 86105223 A,1997-04-22,High strength porous film of polypropylene and process for producing the same,MITSUI CHEMICALS INC,,0,1,C08J5/18;;B29C55/005;;B29K2023/12;;B29K2105/04;;C08J2323/12;;Y10T428/249978;;C08J9/02;;B29C55/12;;C08J5/18;;C08J2323/12;;C08L23/12;;C08J5/18;;B29C55/005;;B29K2023/12;;B29K2105/04;;C08J2323/12;;Y10T428/249978,C08J9/00;;B29C55/00;;B29C55/12;;B29C55/28;;B29K23/00;;B29K105/04;;B29L7/00;;C08J5/18,
95,CN,066-483-549-235-557,2004-06-23,CN 97194995 A,1997-05-27,"Crystalline polypropylene, process for preparing same, polypropylene composition, and thermoformed article",MITSUI CHEMICALS INC,"PURIMAN POLYMER CO., LTD. (2007-07-20)",0,1,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
96,JP,094-840-448-496-131,2000-10-17,JP 9588699 A,1999-04-02,POLYPROPYLENE-BASED RESIN COMPOSITION AND POLYPROPYLENE FILM FOR SHRINK PACKAGING USE,MITSUI CHEMICALS INC,,0,3,,C08J5/18;;C08L23/10,
97,KR,104-392-484-049-093,2000-03-25,KR 19980709630 A,1998-11-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC,,0,3,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
98,EP,036-448-370-476-623,2005-09-07,EP 97922195 A,1997-05-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",8,1,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
99,US,142-385-385-856-407,2002-06-11,US 19436398 A,1998-09-16,"Crystalline polypropylenes, process for preparing thereof, polypropylene compositions, and thermoformed products",MITSUI CHEMICALS INC,PRIME POLYMER CO. LTD (2007-02-28);;MITSUI CHEMICALS INC (1998-11-05),7,25,C08F4/6465;;C08F4/651;;C08F4/6543;;C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F110/06,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,525/88;;526/86;;526/87
100,EP,065-711-602-139-448,1999-03-24,EP 97922195 A,1997-05-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",0,41,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
101,CA,073-890-066-114-314,2004-12-21,CA 2256707 A,1997-05-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC,,0,0,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
102,CA,178-838-616-617-16X,1997-12-04,CA 2256707 A,1997-05-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC,,0,0,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
103,WO,131-872-842-972-200,1997-12-04,JP 9701790 W,1997-05-27,"CRYSTALLINE POLYPROPYLENE, PROCESS FOR PREPARING THE SAME, POLYPROPYLENE COMPOSITION, AND THERMOFORMED ARTICLE",MITSUI CHEMICALS INC;;MORIYA SATORU;;MATSUNAGA SHINYA;;KOJOH SHINICHI;;SUGIMURA KENJI;;KISHINE MASAHIRO;;KANESHIGE NORIO;;KIOKA MAMORU;;KOJIMA TERUHISA,,4,24,C08F110/06;;C08F4/6465;;C08F4/651;;C08F4/6543;;C08F10/06;;C08L23/10,C08F10/06;;C08F2/00;;C08F4/646;;C08F4/651;;C08F4/654;;C08F110/06;;C08L23/10,
104,JP,113-265-392-283-127,1998-06-16,JP 32525396 A,1996-12-05,POLYPROPYLENE RESIN FOR INJECTION MOLDING CONTAINER,MITSUI CHEMICALS INC,,0,8,,B65D1/00;;B29C45/00;;B29K23/00;;B29L22/00;;B65D1/09;;C08F4/642;;C08F4/6592;;C08F10/06;;C08K3/34;;C08K5/098;;C08K5/521;;C08L23/10,
105,US,132-933-274-599-622,1999-12-07,US 89036097 A,1997-07-09,Polypropylene composition and uses thereof,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (1997-10-01),8,105,C08L23/12;;C08F210/06;;C08L23/10;;C08L23/14;;C08L23/142;;C08L2205/02;;Y10S428/91;;Y10T428/1328;;Y10T428/31909;;Y10T428/31913;;C08L23/14;;C08L23/12;;C08F210/06;;C08L23/10;;C08L23/14;;C08L23/142;;C08L2205/02;;Y10S428/91;;Y10T428/1328;;Y10T428/31909;;Y10T428/31913,C08F210/06;;C08L23/10;;C08L23/12;;C08L23/14,428/516;;428/515;;428/34.9;;428/910;;525/240;;526/348.1;;526/348.6
106,JP,052-832-373-390-389,2005-06-16,JP 2003391048 A,2003-11-20,POLYPROPYLENE RESIN COMPOSITION AND MOLDED PRODUCT THEREFROM,MITSUI CHEMICALS INC,,7,2,,C08L23/10;;C08K3/00;;C08K3/013;;C08K5/00;;C08L101/00,
107,JP,104-949-710-647-098,2004-02-26,JP 2002217071 A,2002-07-25,POLYPROPYLENE RESIN COMPOSITION AND POLYPROPYLENE STRETCHED FILM IMPROVED IN STRETCHABILITY AND ITS MANUFACTURING METHOD,MITSUI CHEMICALS INC,,0,5,,C08J5/18;;B29C55/02;;B29K23/00;;B29L7/00;;C08L23/12,
108,KR,030-564-497-131-497,2000-04-15,KR 930010859 A,1993-06-15,POLYMERIC INSULATING MATERIAL AND FORMED ARTICLE MAKING USE OF THE MATERIAL,MITSUI CHEMICALS INC,,0,4,C08L23/10;;C08L23/12;;C08L51/06;;C08L83/04;;C08L83/12;;H01B3/441;;Y10S428/91;;Y10T428/24975;;Y10T428/25;;H01B3/44;;C08L23/10;;C08L23/12;;C08L51/06;;C08L83/04;;C08L83/12;;H01B3/441;;Y10S428/91;;Y10T428/24975;;Y10T428/25,C08L23/12;;H01B3/44,
109,KR,199-380-990-727-959,2005-03-14,KR 20057001594 A,2005-01-28,THERMOPLASTIC ELASTOMER AND MOLDED OBJECT THEREOF,MITSUI CHEMICALS INC,,0,0,C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00,C08K5/14;;C08L21/00;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00,
110,JP,066-117-905-836-122,2024-04-09,JP 2022155372 A,2022-09-28,"BIAXIALLY ORIENTED POLYPROPYLENE FILM, PACKAGE FOR FOOD, AND FOOD PACKAGE",MITSUI CHEMICALS TOHCELLO INC,,0,0,,C08J5/18;;B32B27/00;;B32B27/32;;B65D65/02;;B65D65/40,
111,US,159-900-819-732-77X,2008-08-12,US 52275005 A,2005-01-28,Thermoplastic elastomer and molded article thereof,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2004-12-06),26,4,C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00,C08J3/22;;C08K5/14;;C08L21/00;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00,524/525;;524/528
112,JP,103-344-938-996-771,2011-10-27,JP 2010080014 A,2010-03-31,POLYLACTIC ACID-BLENDED POLYPROPYLENE LAMINATED FILM,MITSUI CHEMICALS TOHCELLO INC,,0,8,Y02W90/10,B32B27/32;;B32B27/36;;B65D65/40;;C08L23/10;;C08L67/04;;C08L101/16,
113,EP,137-474-219-759-998,2005-07-06,EP 03791280 A,2003-08-26,THERMOPLASTIC ELASTOMER AND MOLDED OBJECT THEREOF,MITSUI CHEMICALS INC,,0,4,C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00,C08K5/14;;C08L21/00;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00,
114,WO,109-806-049-173-996,2004-03-11,JP 0310738 W,2003-08-26,THERMOPLASTIC ELASTOMER AND MOLDED OBJECT THEREOF,MITSUI CHEMICALS INC;;IMAI TADASHI,,2,4,C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L21/00;;C08K5/14;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00;;C08L2205/02;;C08L2205/035;;C08L2205/22;;C08L2207/12;;C08L2312/00,C08K5/14;;C08L21/00;;C08L23/06;;C08L23/10;;C08L23/12;;C08L23/16;;C08L91/00,
115,JP,008-897-243-470-040,2007-11-01,JP 2006115059 A,2006-04-18,CAP LINER,MITSUI CHEMICAL FABRO INC,,5,7,,B65D53/04;;B32B5/18;;B32B27/32,
116,JP,180-977-101-368-397,1999-07-06,JP 35547497 A,1997-12-24,CROSSLINKED SYNDIOTACTIC POLYPROPYLENE MOLDING AND ITS PRODUCTION,MITSUI CHEMICALS INC;;JAPAN ATOMIC ENERGY RES INST,,0,1,,C08J3/24;;C08J3/28;;C08L23/10,
117,JP,032-859-339-011-298,2024-04-09,JP 2022155356 A,2022-09-28,"BIAXIALLY ORIENTED POLYPROPYLENE FILM, PACKAGE FOR FOOD, AND FOOD PACKAGE",MITSUI CHEMICALS TOHCELLO INC,,0,0,,C08J5/18;;B32B27/32;;B65D65/02;;C08L23/00;;C08L23/12,
118,JP,157-638-317-766-247,2024-04-09,JP 2022155359 A,2022-09-28,"BIAXIALLY ORIENTED POLYPROPYLENE FILM, PACKAGE FOR FOOD, AND FOOD PACKAGE",MITSUI CHEMICALS TOHCELLO INC,,0,0,,C08J5/18;;B32B27/32;;B65D65/02,
119,KR,078-234-972-138-146,1998-12-15,KR 19960000697 A,1996-01-16,MULTILAYER MOLDED ARTICLE OF POLYPROPYLENE,MITSUI CHEMICALS INC,,0,0,B32B27/32;;B65D1/0215;;C08L23/0815;;C08L23/12;;C08L23/142;;C08L2023/42;;C08L2205/02;;C08L2207/12;;C08L2314/06;;Y10T428/1393;;Y10T428/2495;;Y10T428/31913;;Y10T428/31924;;B32B27/32;;B29C49/22;;C08L23/12;;B32B2323/10;;Y10T428/1393;;Y10T428/2495;;Y10T428/31913;;Y10T428/31924;;B32B2323/10;;B32B2307/406;;B32B2307/412;;B32B2307/558;;B32B27/08;;B32B2307/704;;B32B27/32;;C08L23/142;;C08L23/12;;C08L2314/06;;B65D1/0215;;C08L23/0815;;C08L2207/12;;C08L2023/42;;C08L2205/02,B32B27/32;;B65D1/02;;C08L23/08;;C08L23/12;;C08L23/14,
120,JP,086-256-234-402-598,2006-07-20,JP 2005002435 A,2005-01-07,POLYPROPYLENE-BASED COMPOSITE MATERIAL,MITSUI CHEMICALS INC,,4,12,,C08L23/10;;C08K3/34;;C08L23/08;;C08L23/16;;C08L53/02,
121,CN,080-242-492-855-113,2005-08-03,CN 98800826 A,1998-04-24,Crystalline polypropylene resin composition,MITSUI CHEMICAL IND CO LTD,,0,0,C08L53/00;;C08F10/06;;C08F110/06;;C08F210/02;;C08F210/16;;C08F210/18;;C08L23/10;;C08L23/16;;C08L53/02;;C08L53/025;;C08L2205/02,C08F10/06;;C08F110/06;;C08F210/02;;C08F210/16;;C08F210/18;;C08K3/00;;C08L23/10;;C08L23/16;;C08L53/00;;C08L53/02,
122,JP,144-258-557-811-303,2000-12-26,JP 2000113240 A,2000-04-10,FLEXIBLE SYNDIOTACTIC POLYPROPYLENE COMPOSITION,MITSUI CHEMICALS INC,,0,0,,C08L23/10;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F210/00;;C08F210/06;;C08K5/00;;C08L23/02,
123,US,146-767-468-586-624,2010-02-18,US 31088307 A,2007-09-12,Polypropylene resin and blow molded container,MITSUI CHEMICALS INC;;PRIME POLYMER CO LTD,PRIME POLYMER CO. LTD (2008-11-17);;MITSUI CHEMICALS INC (2008-11-17),1,22,B29C49/10;;B29K2023/12;;B29K2995/0029;;B65D1/0207;;C08F110/06;;C08F210/06;;C08F210/16;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08L23/10;;C08L23/142;;C08L2205/02;;Y10T428/1352;;B29C49/087;;B29C2049/7879;;C08F210/16;;C08F210/06;;C08L23/16;;B65D1/00;;Y10T428/1352;;B65D1/0207;;C08L23/142;;B29K2023/12;;C08L2205/02;;C08F210/06;;C08L23/10;;C08F110/06;;C08K5/1575;;B29K2995/0029;;B29C49/10;;C08K5/521;;C08K5/0083;;C08F210/16,B32B1/00;;C08L23/08,428/35.7;;526/348;;525/240
124,JP,004-257-460-180-583,2000-05-09,JP 30686198 A,1998-10-28,POLYPROPYLENE RESIN COMPOSITION FOR FILM,MITSUI CHEMICALS INC,,0,3,,C08L23/10,
125,JP,137-276-689-311-752,2020-08-27,JP 2019021834 A,2019-02-08,"POLYPROPYLENE COMPOSITION, AND MOLDED BODY",MITSUI CHEMICALS INC,,7,0,,C08L23/10;;B29C45/00;;C08J3/20;;C08K5/098;;C08L23/04,
